Mahendra Singh Dhoni,Captain,Chennai Super Kings
Suresh Raina,Batsman,Chennai Super Kings
Ravindra Jadeja,All-Rounder,Chennai Super Kings
Dwayne Bravo,All-Rounder,Chennai Super Kings
Shardul Narendra Thakur,Bowler,Chennai Super Kings
Ambati Rayudu,Batsman,Chennai Super Kings
Murali Vijay,Batsman,Chennai Super Kings
Harbhajan Singh,Bowler,Chennai Super Kings
Faf Du Plessis,Batsman,Chennai Super Kings
Mark Wood,Bowler,Chennai Super Kings
Sam Billings,All-Rounder,Chennai Super Kings
Imran Tahir,Bowler,Chennai Super Kings
Deepak Chahar,Bowler,Chennai Super Kings
Mitchell Santner,Bowler,Chennai Super Kings
Lungisani Ngidi,Bowler,Chennai Super Kings
N Jagadeesan,Batsman,Chennai Super Kings
Rohit Sharma,Captain,Mumbai Indians
Jasprit Bumrah,Bowler,Mumbai Indians
Hardik Pandya,All-Rounder,Mumbai Indians
Krunal Pandya,All-Rounder,Mumbai Indians
Ishan Kishan,Wicket Keeper,Mumbai Indians
Kieron Pollard,All-Rounder,Mumbai Indians
Pat Cummins,Bowler,Mumbai Indians
Evin Lewis,Batsman,Mumbai Indians
Suryakumar Yadav,Batsman,Mumbai Indians
Ben Cutting,All-Rounder,Mumbai Indians
Mustafizur Rahman,Bowler,Mumbai Indians
Rahul Chahar,Bowler,Mumbai Indians
Pradeep Sangwan,Bowler,Mumbai Indians
Jason Behrendorff,Bowler,Mumbai Indians
Jean-Paul Duminy,All-Rounder,Mumbai Indians
Saurabh Tiwary,Batsman,Mumbai Indians
Tajinder Dhillon Singh,All-Rounder,Mumbai Indians
Virat Kohli,Captain,Royal Challengers Bangalore
AB de Villers,Batsman,Royal Challengers Bangalore
Sarfaraz Khan,All-Rounder,Royal Challengers Bangalore
Chris Woakes,All-Rounder,Royal Challengers Bangalore
Yuzvendra Singh Chahal,Bowler,Royal Challengers Bangalore
Umesh Yadav,Bowler,Royal Challengers Bangalore
Brendon McCullum,Batsman,Royal Challengers Bangalore
M.S. Washington Sundar,All-Rounder,Royal Challengers Bangalore
Navdeep Saini,Bowler,Royal Challengers Bangalore
Quinton De Kock,Wicket Keeper,Royal Challengers Bangalore
Mohammed Siraj,Bowler,Royal Challengers Bangalore
Nathan Coulter-Nile,Bowler,Royal Challengers Bangalore
Colin De Grandhomme,All-Rounder,Royal Challengers Bangalore
M. Ashwin,Bowler,Royal Challengers Bangalore
Parthiv Patel,Wicket Keeper,Royal Challengers Bangalore
David Warner,Captain,Sunrisers Hyderabad
Bhuvaneshwar Kumar,Bowler,Sunrisers Hyderabad
Manish Pandey,Batsman,Sunrisers Hyderabad
Rashid Khan Arman,Bowler,Sunrisers Hyderabad
Shikhar Dhawan,Batsman,Sunrisers Hyderabad
Wriddhiman Saha,Wicket Keeper,Sunrisers Hyderabad
Siddarth Kaul,Bowler,Sunrisers Hyderabad
Deepak Hooda,All-Rounder,Sunrisers Hyderabad
Syed Khaleel Ahmed,Bowler,Sunrisers Hyderabad
Sandeep Sharma,Bowler,Sunrisers Hyderabad
Kane Williamson,Batsman,Sunrisers Hyderabad
Carlos Brathwaite,All-Rounder,Sunrisers Hyderabad
Shakib Al Hasan,All-Rounder,Sunrisers Hyderabad
Yusuf Pathan,All-Rounder,Sunrisers Hyderabad
Shreevats Goswami,Wicket Keeper,Sunrisers Hyderabad
Mohammad Nabi,All-Rounder,Sunrisers Hyderabad
Steve Smith,Batsman,Rajasthan Royals
Benjamin Stokes,All-Rounder,Rajasthan Royals
Jaydev Unadkat,Bowler,Rajasthan Royals
Sanju Samson,Wicket Keeper,Rajasthan Royals
Jofra Archer,All-Rounder,Rajasthan Royals
Krishnappa Gowtham,Bowler,Rajasthan Royals
Jos Buttler,Wicket Keeper,Rajasthan Royals
Ajinkya Rahane,Batsman,Rajasthan Royals
Darcy Short,All-Rounder,Rajasthan Royals
Rahul Tripathi,Batsman,Rajasthan Royals
Dhawal Kulkarni,Bowler,Rajasthan Royals
Zahir Khan Pakteen,Bowler,Rajasthan Royals
Ben Laughlin,Bowler,Rajasthan Royals
Stuart Binny,All-Rounder,Rajasthan Royals
Sunil Naraine,Captain,Kolkata Knight Riders
Andre Russel,All-Rounder,Kolkata Knight Riders
Chris Lynn,Batsman,Kolkata Knight Riders
Mitchell Starc,Bowler,Kolkata Knight Riders
Dinesh Karthik,Wicket Keeper,Kolkata Knight Riders
Robin Uthappa,Wicket Keeper,Kolkata Knight Riders
Kuldeep Singh Yadav,Bowler,Kolkata Knight Riders
Piyush Chawla,Bowler,Kolkata Knight Riders
Nitish Rana,All-Rounder,Kolkata Knight Riders
Kamlesh Nagarkoti,All-Rounder,Kolkata Knight Riders
Shivam Mavi,All-Rounder,Kolkata Knight Riders
Mitchell Johnson,Bowler,Kolkata Knight Riders
Shubman Gill,Batsman,Kolkata Knight Riders
Ranganath Vinay Kumar,Bowler,Kolkata Knight Riders
KL Rahul ,Captain,Kings XI Punjab
Axar Patel,Batsman,Kings XI Punjab
Ravichandran Ashwin,All-Rounder,Kings XI Punjab
Andrew Tye,Bowler,Kings XI Punjab
Aaron Finch,Batsman,Kings XI Punjab
Marcus Stoinis,All-Rounder,Kings XI Punjab
Karun Nair,Batsman,Kings XI Punjab
Mujeeb Zadran,Bowler,Kings XI Punjab
Ankit Singh Rajpoot,Bowler,Kings XI Punjab
David Miller,Batsman,Kings XI Punjab
Mohit Sharma,Bowler,Kings XI Punjab
Barinder Singh Sran,Bowler,Kings XI Punjab
Yuvraj Singh,All-Rounder,Kings XI Punjab
Christopher Gayle,Batsman,Kings XI Punjab
Shreyas Iyer,Captain,Delhi Daredevils
Chris Morris,Bowler,Delhi Daredevils
Risabh Pant,Wicket Keeper,Delhi Daredevils
Glenn Maxwell,All-Rounder,Delhi Daredevils
Kagiso Rabada,Bowler,Delhi Daredevils
Amit Mishra,Bowler,Delhi Daredevils
Shahbaz Nadeem,Bowler,Delhi Daredevils
Vijay Shankar,All-Rounder,Delhi Daredevils
Rahul Tewatia,All-Rounder,Delhi Daredevils
Mohammad Shami,Bowler,Delhi Daredevils
Gautam Gambhir,Batsman,Delhi Daredevils
Trent Boult,Bowler,Delhi Daredevils
Colin Munro,All-Rounder,Delhi Daredevils
Daniel Christian,All-Rounder,Delhi Daredevils
